FechaEmision;Año;Mes;Tipo de Comprobante;Nro. Doc. Receptor;DenominacionReceptor;IVA 10,5%;Imp. Neto Gravado IVA 10,5%;IVA 21%;Imp. Neto Gravado IVA 21%;IVA 27%;Imp. Neto Gravado IVA 27%;Imp. Neto Gravado Total;Imp. Neto No Gravado;Imp. Op. Exentas;Otros Tributos;Total IVA;Imp. Total;TotalVenta;Anio;Anio_ajuste;Mes_ajuste;IPC_fila;Coef_Deflactor;TotalVenta_Real;TotalVenta_Nominal
2023-01-31;2023;1;1;30657033770;Sin cliente;850;8099;8522;40582;0;0;48682;0;0;0;9372;61584;61584;2023;2023;1;1.06;7.779718450816378;479106;61584
2023-01-31;2023;1;1;30657033770;Sin cliente;2012;19168;0;0;0;0;19168;0;0;0;2012;21180;21180;2023;2023;1;1.06;7.779718450816378;164774;21180
2023-01-31;2023;1;1;30657033770;Sin cliente;2012;19168;0;0;0;0;19168;0;0;0;2012;21180;21180;2023;2023;1;1.06;7.779718450816378;164774;21180
2023-01-31;2023;1;1;30657033770;Sin cliente;0;0;6076;28934;0;0;28934;0;0;0;6076;36570;36570;2023;2023;1;1.06;7.779718450816378;284504;36570
2023-01-31;2023;1;1;30657033770;Sin cliente;0;0;3654;17403;0;0;17403;0;0;0;3654;21580;21580;2023;2023;1;1.06;7.779718450816378;167886;21580
2023-02-01;2023;2;1;30657033770;Sin cliente;3623;34506;0;0;0;0;34506;0;0;0;3623;38130;38130;2023;2023;2;1.12996;7.298047327219867;278275;38130
2023-02-01;2023;2;1;30657033770;Sin cliente;408;3891;19655;93596;0;0;97488;0;0;0;20063;121451;121451;2023;2023;2;1.12996;7.298047327219867;886355;121451
2023-02-01;2023;2;1;30657033770;Sin cliente;0;0;1704;8115;0;0;8115;0;0;0;1704;9820;9820;2023;2023;2;1.12996;7.298047327219867;71667;9820
2023-02-01;2023;2;1;30657033770;Sin cliente;0;0;2734;13019;0;0;13019;0;0;0;2734;16340;16340;2023;2023;2;1.12996;7.298047327219867;119250;16340
2023-02-01;2023;2;1;30657033770;Sin cliente;0;0;11251;53579;0;0;53579;0;0;0;11251;66973;66973;2023;2023;2;1.12996;7.298047327219867;488772;66973
2023-02-01;2023;2;1;30657033770;Sin cliente;0;0;49598;236182;0;0;236182;0;0;0;49598;295228;295228;2023;2023;2;1.12996;7.298047327219867;2154588;295228
2023-02-01;2023;2;1;30657033770;Sin cliente;0;0;381;1818;0;0;1818;0;0;0;381;2200;2200;2023;2023;2;1.12996;7.298047327219867;16056;2200
2023-02-01;2023;2;1;30657033770;Sin cliente;0;0;12793;60921;0;0;60921;0;0;0;12793;82643;82643;2023;2023;2;1.12996;7.298047327219867;603133;82643
2023-02-01;2023;2;11;30657033770;Sin cliente;0;0;0;0;0;0;0;0;0;0;0;4800;4800;2023;2023;2;1.12996;7.298047327219867;35031;4800
2023-02-02;2023;2;1;30657033770;Sin cliente;0;0;3070;14620;0;0;14620;0;0;0;3070;17691;17691;2023;2023;2;1.12996;7.298047327219867;129110;17691
2023-02-02;2023;2;1;30657033770;Sin cliente;2898;27605;0;0;0;0;27605;0;0;0;2898;30504;30504;2023;2023;2;1.12996;7.298047327219867;222620;30504
2023-02-02;2023;2;1;30657033770;Sin cliente;0;0;972;4629;0;0;4629;0;0;0;972;7025;7025;2023;2023;2;1.12996;7.298047327219867;51269;7025
2023-02-02;2023;2;1;30657033770;Sin cliente;0;0;7910;37667;0;0;37667;0;0;0;7910;48214;48214;2023;2023;2;1.12996;7.298047327219867;351868;48214
2023-02-02;2023;2;1;30657033770;Sin cliente;0;0;1598;7611;0;0;7611;0;0;0;1598;9514;9514;2023;2023;2;1.12996;7.298047327219867;69434;9514
2023-02-02;2023;2;1;30657033770;Sin cliente;1613;15365;0;0;0;0;15365;0;0;0;1613;16978;16978;2023;2023;2;1.12996;7.298047327219867;123906;16978
2023-02-02;2023;2;1;30657033770;Sin cliente;0;0;557;2657;0;0;2657;0;0;0;557;3294;3294;2023;2023;2;1.12996;7.298047327219867;24040;3294
2023-02-02;2023;2;1;30657033770;Sin cliente;0;0;2082;9917;0;0;9917;0;0;0;2082;12000;12000;2023;2023;2;1.12996;7.298047327219867;87577;12000
2023-02-02;2023;2;3;30657033770;Sin cliente;0;0;1539;7330;0;0;7330;0;0;0;1539;-9162;-9162;2023;2023;1;1.06;7.779718450816378;-71278;-9162
2023-02-03;2023;2;1;30657033770;Sin cliente;0;0;2312;11010;0;0;11010;0;0;0;2312;13322;13322;2023;2023;2;1.12996;7.298047327219867;97225;13322
2023-02-03;2023;2;1;30657033770;Sin cliente;0;0;28;134;0;0;134;0;0;0;28;163;163;2023;2023;2;1.12996;7.298047327219867;1190;163
2023-02-03;2023;2;1;30657033770;Sin cliente;0;0;3604;17166;0;0;17166;0;0;0;3604;21543;21543;2023;2023;2;1.12996;7.298047327219867;157222;21543
2023-02-03;2023;2;1;30657033770;Sin cliente;2955;28151;0;0;0;0;28151;0;0;0;2955;31107;31107;2023;2023;2;1.12996;7.298047327219867;227020;31107
2023-02-03;2023;2;1;30657033770;Sin cliente;0;0;34;163;0;0;163;0;0;0;34;213;213;2023;2023;2;1.12996;7.298047327219867;1554;213
2023-02-03;2023;2;1;30657033770;Sin cliente;0;0;3475;16551;0;0;16551;0;0;0;3475;20027;20027;2023;2023;2;1.12996;7.298047327219867;146158;20027
2023-02-03;2023;2;1;30657033770;Sin cliente;0;0;8369;39855;0;0;39855;0;0;0;8369;48225;48225;2023;2023;2;1.12996;7.298047327219867;351948;48225
2023-02-03;2023;2;1;30657033770;Sin cliente;0;0;0;0;534;1980;1980;0;0;0;534;2593;2593;2023;2023;2;1.12996;7.298047327219867;18924;2593
2023-02-06;2023;2;1;30657033770;Sin cliente;0;0;1259;5998;0;0;5998;0;0;0;1259;7258;7258;2023;2023;2;1.12996;7.298047327219867;52969;7258
2023-02-06;2023;2;1;30657033770;Sin cliente;0;0;1786;8506;0;0;8506;0;0;0;1786;10292;10292;2023;2023;2;1.12996;7.298047327219867;75112;10292
